Quote,Author
"A little progress each day adds up to big results.", JJ
"Start each day with a grateful heart.", JJ
"But seek first the kingdom and His righteousness and all these things will be given to you as well", Matthew 6:33
"I will keep telling you that you are important, deserving, loving, inspiring, intelligent, worthy, gifted, compassionate, brave, and strong, and I hope one day you will see this in yourself.", JJ
"Do something today that your future self will thank you for.", JJ
"The longer you wait for something, the more you will appreciate it once you finally get it.", JJ
"Do not conform to the pattern of this world, but be transformed by the renewing of your mind; then you will be able to test and approve what God's will is — his good, pleasing, and perfect will.", Romans 12:2
"Take chances today; live your dreams today; life is happening right now.", JJ
"And we know that in all things God works for the good of those who love Him, who have been called according to his purpose.", Romans 8:28
"When you can't look on the bright side, I will sit with you in the dark.", JJ
"Those who trust in the Lord will find new strength.", Isaiah 10:31
"Reminder: You don't have to put up with anyone's bullshit today.", JJ
"My brain is broken, but in Christ I am whole.", JJ
"Every second is a fresh beginning; every hour holds a new promise; every night our dreams bring new hope; every day is what you make it.", JJ
"A best friend is someone who makes you laugh even when you think you will never smile again.", JJ
"Believe in yourself!", JJ
"Faith isn't just a feeling; it is a choice to trust God even when the road ahead seems uncertain.", JJ
"Falling down is an accident, staying down is a choice.", JJ
"Trust the Lord with all your heart and lean not on your own understanding; in all your ways submit to Him, and He will make your path straight.", Proverbs 3:5-6
"Giving up is not ideal, keep trying to find a way to make things work.", JJ
"Remember how far you've come, not just how far you have to go; you are not where you want to be, but neither are you where you used to be.", JJ
"Cast all your anxiety on Him because He cares for you.", 1 Peter 5:7
"Don't let a bad day make you feel like you have a bad life.", JJ
"For with God, nothing shall be impossible.", Luke 1:37
"You are brave, valued, and cared for.", JJ
"Be somebody who makes everybody feel like a somebody.", JJ
"Those who move forward with a happy spirit will find that things always work out.", JJ
"When life gives you more than you can stand, kneel and pray.", JJ
"God has a purpose for your pain, a reason for your struggles, and a reward for your faithfulness; trust Him and don't give up.", JJ
"Nothing is impossible — even the word itself says, ""I'm possible"".", JJ
"Don't be afraid not to fail, be afraid of not trying.", JJ
"Love is not found but resides inside me, I manifest this.", Lupe Fiasco
"La da da da dee, you're not breaking me. La dee da da da, ain't got time for ya.", Tori Kelly
"But I'm still having fun and I guess that's the key; I'm a twenty-something and I'll keep being me.", Jamie Cullum
"Stop asking — keep dancing.", The Cab
"You're special, you're a rocket through me.", Mew
"If You gladly chose surrender, so will I.", Hillsong United
"Don't worry, we'll find somewhere to hide.", Shiny Toy Guns
"In this needle and haystack life, I've found miracles there in your eyes; it's no accident we're here tonight.", Switchfoot
"Gravity is losing its hold.", Two Door Cinema Club
"You are enough.", Sleeping At Last
"Don't be, don't be afraid. Our mistakes, they were bound to be made. But I promise you, I'll keep you safe.", Sleeping At Last
"Icy as a hockey rink, Philly nigga I'm flyer.", Meek Mill
"When I bought a Rolls Royce, they thought it was leased. Then I bought a new Ferrari — haters, rest in peace.", Meek Mill
"Chances are never given, they tooken' like interceptions.", Meek Mill
"Its the colours you have, no need to be sad, it really ain't that bad.", Grouplove
"If this is our life, then we should make the most of what we have.", A Genuine Freakshow
"Deliver me, because the walls are closing in.", Stateless
"All that I want is a hole in the ground; you can tell me when it's alright for me to come out.", Paramore
"Walking around with my little raincloud; hanging over my head, and it ain't coming down.", Paramore
"And I still don't know how I even survive HARD TIMES.", Paramore
"Hard times gonna make you wonder why you even try.", Paramore
"Hard times gonna take you down and laugh when you cry.", Paramore
"You can sit beside me when the world comes down.", The All-American Rejects
"My mom is my superhero.", Between the Trees
"Where did it come from and where does it go? If it were right in front of me, would I know? [LOVE]", Shiny Toy Guns
"Why, why why won't the world revolve around me?!", Fall Out Boy
"When we were children we'd say, that we don't know the meaning of fear.", OneRepublic
"Sometimes there's airplanes you can't jump out; sometimes there's bullshit that don't work now.", OneRepublic
"Hopelessly, the hope is we have something to feel good about.", OneRepublic
"There's so many wars we've fought, and so many things we're not. But with what we have, I promise you that we're marching on.", OneRepublic
"Look at me, oh look at me, is this the way I'll always be? Now I pray that somebody will quickly come and kidnap me. Everyday I lie awake and pray to God today's the day. Here I am, oh here I am, oh when will someone understand?", Passion Pit
"When you grieve, you'll find, a gorgeous melody, in the harmony that holds you, and forces you to see…", Passion Pit
"Love is the answer, and the one design. Such a simple design — holy architecture.", Passion Pit
"He will love you till the end of time, till the end of time. A beautiful design — let it end your pain in a landslide.", Passion Pit
"Once I had a dream, it died long before. Now I'm pointed north, hoping for the shore.", James Vincent McMorrow
"Let's get a bottle and drink alone tonight.", Minus the Bear
"Lately I've been living in my head, the rest of me is dead — I'm dying for truth.", Foo Fighters
"The deepest blues are black.", Foo Fighters
"When you're dreaming with a broken heart, then waking up is the hardest part.", John Mayer
"Don't you just love goodbyes?", Mew
"I don't feel alright, in spite of these comforting sounds you make.", Mew
"I am the broken, I am the bruised.", BarlowGirl
"I just came from jail, ain't do no crying. They put me through hell, and sharpened my iron.", Meek Mill
"We were hoping for some romance, all we found was more despair.", Bloc Party
"Don't give up, 'cause you have friends. Don't give up, you're not beaten yet.", Herbie Hancock
"I lift my eyes to see Heaven's fighting for me.", Leeland
"Can you hear the sound of melodies rising up to you God?", Leeland
"So bring me joy and pain. I want to feel again.", Violents
"Ooh, the way that I fall.", Violents
"Tides that I tried to swim against, have brought me down upon my knees.", Coldplay
"Oh you, use your heart as a weapon, and it hurts like heaven.", Coldplay
"We never change, do we? And we never learn, do we?", Coldplay
"In my place, were lines that I couldn't change.", Coldplay
"And, in the end, we lie awake. And we dream of making our escape.", Coldplay
"No I don't wanna battle from beginning to end; I don't want this cycle of recycled revenge. I don't wanna follow death and all of his friends.", Coldplay
"Lights will guide you home, and ignite your bones; and I will try to fix you.", Coldplay
"When the tears come streaming down your face, and you lose something you can't replace. When you love someone but it goes to waste, could it be worse?", Coldplay
"In another perfect life, we'd run.", Foo Fighters
"Will You tell me what this life is all about? Will You show me how to make my time here count? Will You lead the way on, to the other side? Because I want to feel alive.", The Afters
"Lover, if you only knew, the times that train has fooled me too. It tears me from a place I know, but helps me to surprise myself; you know, you might surprise yourself.", Jack Garratt
"From the moment I wake, till the moment I sleep, I'll be there by your side — just you try and stop me.", Coldplay
"You say you've never known love like this before, I say I've never known loneliness like this.", Sun Airway
"The sky is the limit, and I just want to float.", Natasha Bedingfield
"And every time that you're lonely, every time that you're feeling low, you should know: I'll be there for you, I'll be there for you, I'll be there for you, you know.", Oh Wonder
"You can try and hide away from all the things that people say that you need to be okay, but you'll just stay the same.", PHOX
"Cause if you ever feel neglected; if you think that all is lost; I'll be counting up my demons, hoping everything's not lost.", Coldplay
"I give it all into your hands, do what you will with me.", Foster the People
"I'ma get up today. I don't know how, but I'ma find a way.", Logic
"Searching for the sun in a world of grey; Feeling like my dream is a world away.", Logic
"I struggle everyday but I just can't let the devil in.", Logic
"Pain may be there for a long time or even for forever. That doesn't mean you have to miss out on happiness.", JJ
"Everything takes time and work and money and emotions and energy and more.", JJ
"You can really do anything.", Logic
"You can't have a rainbow without rain.",Unknown
"Don't let your struggles become your identity.",Unknown
"You can always set new goals or dream new dreams.",Unknown
"Do something today that your future self will thank you for.",Unknown
"The only person you are destined to be, is the person you decide to be.",Unknown
"You never know who you are inspiring; keep being strong.",Unknown
"You can't have everybody f*cking with you, coz then it just wouldn't be fun.",Croosh
"Life is tough, but so are you.",Unknown
"Mistakes are proof you are trying.",Unknown
"Work for a cause, not applause; Live to express, not impress.",Unknown
"It often seems impossible until it's done.",Unknown
"Simply by being yourself, you are putting something wonderful into the world.",Unknown
"Even the mighty oak tree starts from a tiny acorn.",Unknown
"The past can hurt. But the way I see it, you can either run from it, or learn from it.",Rafiki (The Lion King)
"Be a warrior, not a worrier.",Unknown
"If you can't change it, change the way you think about it.",Unknown
"Remember you're the one who can fill the world with sunshine.",Snow White (Snow White and the Seven Dwarfs)
"The flower that blooms in adversity is the most rare and beautiful of all.",The Emperor (Mulan)
"Even miracles take a little time.",Fairy Godmother (Cinderella)
"You are braver than you believe, stronger than you seem, and smarter than you think.",Christopher Robin (Winnie the Pooh)
"Our fate lives within us; you only have to be brave enough to see it.",Merida (Brave)
"Hakuna matata.",Timon and Pumbaa (The Lion King)
"Sometimes the right path is not the easiest one.",Grandmother Willow (Pocahontas)
"A true hero isn't measured by the size of his strength, but by the strength of his heart.",Zeus (Hercules)
"The very things that hold you down are going to lift you up.",Timothy Mouse (Dumbo)
"The only way to get what you want in this world is through hard work.",Tiana (The Princess and the Frog)
"When there's a smile in your heart, there's no better time to start. Think of all the joy you'll find, when you leave the world behind and bid your cares goodbye. You can fly.",Peter Pan (Peter Pan)
"Beauty is found within.",Beauty and the Beast
"If you focus on what you left behind, you will never see what lies ahead.",Chef Gusteau (Ratatouille)
"All it takes is faith and trust.",Peter Pan (Peter Pan)
"Change is good.",Rafiki (Lion King)
"I'm a winner. I'm going to win.",Coach Boone (Remember the Titans)
"Rebellions are built on hope.",Jyn Erso (Rogue One: A Star Wars Story)
"Strike me down, and I will become more powerful than you could possibly imagine.",Obi-Wan Kenobi (Star Wars: A New Hope)
"Remember...the Force will be with you, always.",Obi-Wan Kenobi (Star Wars: A New Hope)
"Train yourself to let go of everything you fear to lose.",Yoda (Star Wars: Revenge of the Sith)
"Fear is the path to the dark side. Fear leads to anger. Anger leads to hate. Hate leads to suffering.",Yoda (Star Wars: The Phantom Menace)
"Patience you must have, my young Padawan.",Yoda (Star Wars: The Empire Strikes Back)
"Do or do not, there is no try.",Yoda (Star Wars: The Empire Strikes Back)
"Your focus determines your reality.", Qui-Gon Jinn (Star Wars: The Phantom Menace)
"Many of the truths that we cling to depend on our point of view.",Obi-Wan Kenobi (Star Wars: Return of the Jedi)
"Now, be brave and don't look back. Don't look back.",Shmi SKywalker (Star Wars: The Phantom Menace)
"The Way Get Started Is To Quit Talking And Begin Doing.",Walt Disney
"The Pessimist Sees Difficulty In Every Opportunity. The Optimist Sees Opportunity In Every Difficulty.",Winston Churchill
"If You Are Working On Something That You Really Care About, You Don't Have To Be Pushed. The Vision Pulls You.",Steve Jobs
"You got a dream... You gotta protect it. People can't do somethin' themselves, they wanna tell you you can't do it. If you want somethin', go get it. Period.",Chris Gardner (Pursuit of Happyness)
"Wealth can also be that attitude of gratitude with which we remind ourselves ot count our blessings.",Chris Gardner (Pursuit of Happyness)
"I am not what happened to me; I am what I choose to be.",Chris Gardner (Pursuit of Happyness)
"You want to know what I see in your future? Possibility.",The Ancient One (Dr. Strange)
"All I need is possible.",Steven Strange (Dr. Strange)
"We never lose our demons, we only learn to live with them.",Mordo (Dr. Strange)
"I came to bargain.",Dr. Strange (Dr. Strange)
"Look inside yourself, Simba. You are more than what you have become.",Mufasa (The Lion King)
"Remember who you are.",Mufasa (The Lion King)
"Brothers, what we do in life echoes in eternity.",Maximus (Gladiator)
"No matter how many times you save the world, it always manages to get back in jeopardy again. Sometimes I just want it to stay saved! You know, for a little bit? I feel like the maid; I just cleaned up this mess! Can we keep it clean for... for ten minutes?!",Mr. Incredible (The Incredibles)
"Promise me you'll always remember: You're braver than you believe, and stronger than you seem, and smarter than you think.",Winnie the Pooh
"The things that make me different are the things that make me.",Winnie the Pooh
"Piglet noticed that even though he had a very small heart, it could hold a rather large amount of gratitude.",Winnie the Pooh
"You can't stay in your corner of the Forest waiting for others to come to you. You have to go to them sometimes.",Winnie the Pooh
"How lucky I am to have something that makes saying goodbye so hard.",Winnie the Pooh
"I don't scratch my head unless it itches and I don't dance unless I hear some music. I will not be intimidated. That's just the way it is.",Coach Boone (Remember the Titans)
"Put your faith in what you most believe in.",Phil Collins (Tarzan)
"In this life, you're the one place I call home.",Switchfoot
"Everybody wanna take shots at the king!",Dizzee Rascal
"Wot you gonna do, keep quiet or speak? Ain't nobody gonna shed no tears, get back on your feet!",Dizzee Rascal
"Never taking L's, got me skippin' letters.",Croosh
"Hate on me, and I ignore it.",Croosh
"If you do not like me, that's okay. You can go fall off a cliff.",Croosh
"I really don't mind what happens now and then, As long as you'll be my friend at the end.",3 Doors down
"If you're still bleeding, you're the lucky ones, coz most of our feelings, they are dead and they are gone.",Daughter
"Even if the sky is falling down, I know that we'll be safe and sound.",Capital Cities
"Pull yourself together, for me.",The Boxer Rebellion
"Well, I've been carved in fire.",Bon Iver
"It might be over soon.",Bon Iver
"I know you've been burned, but every fire is a lesson learned.",Ellie Goulding
"I wish I could feel it all for you.",Ellie Goulding
"Tomorrow will be kinder; it's true, I've seen it before; a brighter day is coming my way; yes, tomorrow will be kinder.",The Secret Sisters
"Oh! The possibilities!",Sanctus Real
